What is a Dinosaur?;General;Terrible Lizard;Large Lizard;Large Animal;Terrible Animal
Which dinosaur had a long neck?;Herbivore;Brachiosaurus;Tyrannosaurus;Triceratops;Stegosaurus
Which large dinosaur had a beak-like branch on its tail?;Carnivore;Oviraptor;Velociraptor;Spinosaurus;Dilophosaurus
Which dinosaur had a large shield on its back?;Herbivore;Ankylosaurus;Brachiosaurus;Stegosaurus;Triceratops
Which dinosaur had a large frill on its head and three horns above it?;Herbivore;Triceratops;Pterodactyl;Stegosaurus;Diplodocus
Which dinosaur was famous for its large frill on its back?;Carnivore;Spinosaurus;Tyrannosaurus;Triceratops;Edmontosaurus
Which predator dinosaur had large fangs and looked like a walking book?;Carnivore;Baryonyx;Parasaurolophus;Stegosaurus;Brachiosaurus
What was the largest known herbivorous dinosaur?;Herbivore;Argentinosaurus;Tyrannosaurus;Stegosaurus;Velociraptor
Which carnivorous dinosaur is famous for its large sickle-shaped claw on each hindfoot?;Carnivore;Deinonychus;Triceratops;Brachiosaurus;Ankylosaurus
What is the name of the dinosaur with a large bony frill and three facial horns?;Herbivore;Triceratops;Allosaurus;Pterodactylus;Diplodocus
Which omnivorous dinosaur is known for its distinctive dome-shaped head?;Omnivore;Pachycephalosaurus;Spinosaurus;Allosaurus;Dilophosaurus
What is the name of the long-necked long-tailed herbivorous dinosaur?;Herbivore;Brachiosaurus;Tyrannosaurus;Velociraptor;Stegosaurus
During which era did dinosaurs live?;General;Mesozoic;Paleozoic;Cenozoic;Precambrian
What is the study of fossils called?;General;Paleontology;Archaeology;Geology;Anthropology
What is the term for the extinction event that wiped out the dinosaurs?;General;Cretaceous-Paleogene Extinction;Permian-Triassic Extinction;Triassic-Jurassic Extinction;Ordovician-Silurian Extinction
Which dinosaur is often referred to as a thunder lizard?;General;Brontosaurus;Tyrannosaurus;Velociraptor;Triceratops
What type of dinosaur is a Triceratops?;General;Ceratopsid;Theropod;Sauropod;Ornithopod
Which dinosaur is known for its three claws on each hand?;General;Velociraptor;Stegosaurus;Ankylosaurus;Diplodocus
What kind of diet did most theropods have?;General;Carnivorous;Herbivorous;Omnivorous;Insectivorous
Which dinosaur is known as the tyrant lizard king?;General;Tyrannosaurus rex;Velociraptor;Brachiosaurus;Stegosaurus
What characteristic is the Stegosaurus known for?;General;Plates on its back;Long neck;Horns on its head;Sharp claws
Which dinosaur is known for its duck-billed appearance?;General;Hadrosaurus;Stegosaurus;Triceratops;Tyrannosaurus
What feature is the Ankylosaurus known for?;General;Armored body;Long neck;Sharp teeth;Feathers
